Year and month,Population increase [person],Natural increase [person],Number of births [person],Deaths [person],social increase [person],"
Number of immigrants [person]",Move out number [person],Population growth rate [per thousand],Natural rate of increase [per thousand],Crude birth rate [per thousand],Crude death rate [per thousand],Social increase rate [per thousand],"Immigrant rate [per thousand]
",Emigration rate [per thousand],Total population mobility [per thousand]
94年2月,-501,417,1452,1035,-918,14666,15584,-2.49,2.07,7.22,5.15,-4.56,72.92,77.49,150.41
94年3月,-2419,416,1945,1529,-2835,23019,25854,-10.86,1.87,8.74,6.87,-12.74,103.44,116.18,219.61
94年4月,-316,472,1619,1147,-788,20767,21555,-1.47,2.19,7.52,5.33,-3.66,96.48,100.14,196.62
94年5月,-1012,599,1847,1248,-1611,23002,24613,-4.55,2.69,8.31,5.61,-7.24,103.44,110.69,214.13
94年6月,-308,533,1715,1182,-841,23679,24520,-1.43,2.48,7.97,5.49,-3.91,110.06,113.97,224.04
94年7月,-593,520,1678,1158,-1113,22955,24068,-2.67,2.34,7.55,5.21,-5.01,103.27,108.28,211.55
94年8月,2324,528,1760,1232,1796,32222,30426,10.46,2.37,7.92,5.54,8.08,144.92,136.84,281.76
94年9月,-2083,574,1755,1181,-2657,26051,28708,-9.68,2.67,8.16,5.49,-12.35,121.06,133.41,254.47
94年10月,-438,682,1767,1085,-1120,17564,18684,-1.97,3.07,7.95,4.88,-5.04,79.03,84.07,163.1
94年11月,-1288,613,1876,1263,-1901,17165,19066,-5.99,2.85,8.73,5.87,-8.84,79.83,88.68,168.51
94年12月,1067,581,1834,1253,486,21175,20689,4.8,2.62,8.26,5.64,2.19,95.31,93.12,188.43
95年1月,98,566,1699,1133,-468,18530,18998,0.44,2.55,7.65,5.1,-2.11,83.39,85.49,168.88
95年2月,172,413,1654,1241,-241,19033,19274,0.86,2.06,8.24,6.18,-1.2,94.82,96.02,190.85
95年3月,1413,423,1790,1367,990,24270,23280,6.36,1.9,8.05,6.15,4.45,109.18,104.73,213.9
95年4月,1326,523,1612,1089,803,20210,19407,6.16,2.43,7.49,5.06,3.73,93.9,90.17,184.06
95年5月,1309,481,1660,1179,828,24157,23329,5.88,2.16,7.46,5.3,3.72,108.56,104.84,213.4
95年6月,3090,546,1766,1220,2544,27848,25304,14.35,2.53,8.19,5.66,11.8,129.21,117.41,246.61
95年7月,1974,512,1653,1141,1462,26942,25480,8.86,2.3,7.42,5.12,6.56,120.86,114.3,235.15
95年8月,534,617,1756,1139,-83,28272,28355,2.39,2.77,7.87,5.11,-0.37,126.76,127.13,253.9
95年9月,-850,752,1770,1018,-1602,25214,26816,-3.94,3.48,8.2,4.72,-7.42,116.83,124.25,241.08
95年10月,2033,732,1936,1204,1301,19543,18242,9.12,3.28,8.68,5.4,5.83,87.61,81.78,169.39
95年11月,3361,779,1944,1165,2582,19855,17273,15.56,3.6,9,5.39,11.95,91.88,79.93,171.81
95年12月,1407,796,1911,1115,611,29097,28486,6.3,3.56,8.55,4.99,2.73,130.19,127.45,257.64
96年1月,-1370,476,1852,1376,-1846,23478,25324,-6.13,2.13,8.29,6.16,-8.26,105.05,113.31,218.35
96年2月,-1766,329,1387,1058,-2095,13669,15764,-8.75,1.63,6.87,5.24,-10.38,67.75,78.14,145.89
96年3月,-2833,413,1870,1457,-3246,23156,26402,-12.69,1.85,8.38,6.53,-14.54,103.76,118.3,222.06
96年4月,873,342,1653,1311,531,19956,19425,4.04,1.58,7.66,6.07,2.46,92.43,89.97,182.41
96年5月,86,574,1812,1238,-488,23530,24018,0.39,2.57,8.12,5.55,-2.19,105.45,107.64,213.09
96年6月,758,394,1583,1189,364,20401,20037,3.51,1.82,7.33,5.51,1.69,94.46,92.78,187.24
96年7月,340,471,1732,1261,-131,23903,24034,1.52,2.11,7.76,5.65,-0.59,107.09,107.67,214.76
96年8月,-1077,781,1991,1210,-1858,23550,25408,-4.82,3.5,8.92,5.42,-8.33,105.52,113.84,219.36
96年9月,-1894,474,1488,1014,-2368,22175,24543,-8.77,2.2,6.89,4.7,-10.97,102.73,113.7,216.43
96年10月,745,757,2005,1248,-12,17064,17076,3.34,3.39,8.99,5.6,-0.05,76.52,76.57,153.09
96年11月,1423,859,2113,1254,564,15542,14978,6.59,3.98,9.79,5.81,2.61,71.99,69.37,141.36
96年12月,1742,879,2134,1255,863,16217,15354,7.81,3.94,9.56,5.62,3.87,72.65,68.78,141.43
97年1月,420,529,1886,1357,-109,16550,16659,1.89,2.38,8.47,6.09,-0.49,74.31,74.8,149.11
97年2月,1277,424,1750,1326,853,13983,13130,6.13,2.03,8.4,6.36,4.09,67.09,63,130.09
97年3月,639,291,1800,1509,348,18584,18236,2.87,1.31,8.08,6.77,1.56,83.39,81.82,165.21
97年4月,-639,321,1643,1322,-960,20310,21270,-2.96,1.49,7.62,6.13,-4.45,94.17,98.62,192.79
97年5月,-451,289,1612,1323,-740,22749,23489,-2.02,1.3,7.23,5.94,-3.32,102.09,105.42,207.51
97年6月,-324,327,1558,1231,-651,22216,22867,-1.5,1.52,7.23,5.71,-3.02,103.04,106.06,209.1
97年7月,-1492,380,1644,1264,-1872,23268,25140,-6.7,1.71,7.38,5.68,-8.41,104.48,112.88,217.36
97年8月,-2585,312,1496,1184,-2897,20848,23745,-11.61,1.4,6.72,5.32,-13.02,93.68,106.7,200.38
97年9月,-3181,429,1620,1191,-3610,24368,27978,-14.78,1.99,7.53,5.54,-16.78,113.27,130.05,243.33
97年10月,-394,566,1882,1316,-960,17549,18509,-1.77,2.55,8.47,5.92,-4.32,79,83.32,162.32
97年11月,-414,873,2038,1165,-1287,16874,18161,-1.93,4.06,9.48,5.42,-5.99,78.5,84.49,162.99
97年12月,798,344,1762,1418,454,20599,20145,3.59,1.55,7.93,6.38,2.04,92.74,90.69,183.43
98年1月,-833,354,1369,1015,-1187,12923,14110,-3.74,1.59,6.15,4.56,-5.33,58.02,63.35,121.37
98年2月,-1817,78,1727,1649,-1895,20862,22757,-9.03,0.39,8.59,8.2,-9.42,103.75,113.18,216.93
98年3月,-353,881,2212,1331,-1234,20263,21497,-1.59,3.96,9.94,5.98,-5.55,91.06,96.6,187.66
98年4月,-1444,-222,1080,1302,-1222,18197,19419,-6.71,-1.03,5.02,6.05,-5.68,84.53,90.2,174.73
98年5月,-910,117,1248,1131,-1027,18131,19158,-4.09,0.53,5.61,5.09,-4.62,81.54,86.16,167.7
98年6月,-1046,267,1660,1393,-1313,23019,24332,-4.86,1.24,7.72,6.48,-6.1,107.02,113.12,220.14
98年7月,-1235,418,1756,1338,-1653,24314,25967,-5.56,1.88,7.9,6.02,-7.44,109.44,116.88,226.32
98年8月,-2680,170,1387,1217,-2850,23840,26690,-12.07,0.77,6.25,5.48,-12.84,107.38,120.22,227.61
98年9月,-4009,363,1597,1234,-4372,24361,28733,-18.67,1.69,7.44,5.75,-20.38,113.53,133.91,247.44
98年10月,-410,571,1745,1174,-981,17679,18660,-1.85,2.58,7.88,5.3,-4.43,79.8,84.23,164.03
98年11月,-307,623,1770,1147,-930,15961,16891,-1.43,2.91,8.26,5.35,-4.34,74.46,78.8,153.26
98年12月,-451,523,1852,1329,-974,18585,19559,-2.04,2.36,8.36,6,-4.4,83.92,88.31,172.23
99年1月,-1277,339,1673,1334,-1616,15667,17283,-5.77,1.53,7.56,6.03,-7.3,70.76,78.06,148.83
99年2月,-1088,73,1266,1193,-1161,13652,14813,-5.44,0.37,6.33,5.97,-5.81,68.3,74.11,142.41
99年3月,-319,246,1700,1454,-565,23297,23862,-1.44,1.11,7.68,6.57,-2.55,105.3,107.86,213.16
99年4月,-1093,57,1395,1338,-1150,19008,20158,-5.11,0.27,6.52,6.25,-5.37,88.8,94.18,182.98
99年5月,499,222,1426,1204,277,22809,22532,2.26,1,6.45,5.44,1.25,103.14,101.88,205.02
99年6月,-1282,144,1409,1265,-1426,21455,22881,-5.99,0.67,6.58,5.91,-6.66,100.26,106.93,207.19
99年7月,2489,48,1382,1334,2441,25612,23171,11.26,0.22,6.25,6.03,11.04,115.8,104.76,220.57
99年8月,-48,228,1464,1236,-276,22745,23021,-0.22,1.03,6.62,5.59,-1.25,102.79,104.04,206.83
99年9月,3614,454,1660,1206,3160,26693,23533,16.88,2.12,7.75,5.63,14.75,124.57,109.82,234.39
99年10月,4148,349,1545,1196,3799,16853,13054,18.72,1.57,6.97,5.39,17.13,76,58.87,134.86
99年11月,2542,406,1732,1326,2136,16377,14241,11.84,1.89,8.06,6.17,9.94,76.22,66.27,142.49
99年12月,3159,566,1878,1312,2593,25029,22436,14.22,2.55,8.45,5.9,11.67,112.6,100.93,213.53
100年1月,4111,411,1942,1531,3700,21128,17428,18.48,1.85,8.72,6.88,16.62,94.92,78.3,173.21
100年2月,1908,165,1550,1385,1743,16183,14440,9.48,0.82,7.7,6.88,8.66,80.4,71.74,152.14
100年3月,2886,563,2287,1724,2323,23789,21466,12.95,2.52,10.25,7.73,10.41,106.65,96.24,202.89
100年4月,2608,436,1867,1431,2172,19116,16944,12.08,2.02,8.64,6.62,10.05,88.47,78.42,166.88
100年5月,2759,799,2093,1294,1960,22176,20216,12.35,3.57,9.36,5.79,8.77,99.22,90.45,189.66
100年6月,2722,761,2037,1276,1961,21395,19434,12.58,3.51,9.41,5.89,9.06,98.81,89.75,188.56
100年7月,2100,757,1957,1200,1343,22637,21294,9.38,3.38,8.74,5.36,6,101.08,95.08,196.17
100年8月,1198,864,2137,1273,334,23704,23370,5.35,3.86,9.54,5.68,1.49,105.78,104.29,210.07
100年9月,1035,1374,2550,1176,-339,24854,25193,4.77,6.33,11.75,5.42,-1.56,114.56,116.12,230.68
100年10月,3037,800,1956,1156,2237,16722,14485,13.54,3.57,8.72,5.15,9.97,74.53,64.56,139.1
100年11月,3986,1101,2346,1245,2885,15827,12942,18.35,5.06,10.79,5.73,13.27,72.8,59.53,132.33
100年12月,3846,1113,2410,1297,2733,15458,12725,17.11,4.95,10.71,5.76,12.15,68.71,56.56,125.26
101年1月,1991,534,1953,1419,1457,14009,12552,8.87,2.38,8.69,6.32,6.49,62.37,55.88,118.25
101年2月,989,661,2196,1535,328,19339,19011,4.7,3.14,10.44,7.3,1.56,91.98,90.42,182.41
101年3月,2564,837,2410,1573,1727,21418,19691,11.41,3.72,10.72,6.99,7.68,95.23,87.56,182.79
101年4月,2173,854,2241,1387,1319,18071,16752,9.98,3.92,10.29,6.37,6.06,82.96,76.9,159.86
101年5月,2332,1050,2412,1362,1282,22785,21503,10.36,4.66,10.71,6.05,5.69,101.14,95.45,196.58
101年6月,2246,1240,2531,1291,1006,19256,18250,10.3,5.68,11.6,5.92,4.61,88.25,83.64,171.88
101年7月,1224,623,2099,1476,601,22508,21907,5.43,2.76,9.3,6.54,2.66,99.76,97.09,196.85
101年8月,1115,1149,2524,1375,-34,23158,23192,5,5.09,11.18,6.09,-0.15,102.59,102.74,205.34
101年9月,230,1267,2452,1185,-1037,21580,22617,1,5.8,11.22,5.42,-4.75,98.76,103.51,202.27
101年10月,2399,1548,2972,1424,851,16880,16029,11,6.85,13.16,6.3,3.77,74.72,70.96,145.68
101年11月,2775,1538,2812,1274,1237,15898,14661,13,7.03,12.85,5.82,5.65,72.65,67,139.65
101年12月,2220,1618,2896,1278,602,16019,15417,10,7.15,12.8,5.65,2.66,70.78,68.12,138.9
102年1月,1807,1336,2920,1584,471,15985,15514,7.96,5.88,12.86,6.97,2.07,70.38,68.31,138.69
102年2月,1095,908,2166,1258,187,12179,11992,5.34,4.42,10.55,6.13,0.91,59.34,58.43,117.76
102年3月,1643,781,2274,1493,862,18425,17563,7.23,3.44,10,6.57,3.79,81.04,77.25,158.29
102年4月,1280,729,2134,1405,551,16636,16085,5.82,3.31,9.69,6.38,2.5,75.57,73.07,148.63
102年5月,1245,897,2263,1366,348,21258,20910,5.47,3.94,9.94,6,1.53,93.41,91.88,185.28
102年6月,1258,724,1935,1211,534,17558,17024,5.71,3.29,8.78,5.5,2.42,79.68,77.26,156.94
102年7月,818,773,2141,1368,45,21005,20960,3.59,3.39,9.4,6.01,0.2,92.21,92.02,184.23
102年8月,-355,801,2026,1225,-1156,19378,20534,-1.56,3.52,8.89,5.38,-5.07,85.06,90.14,175.2
102年9月,-433,696,2009,1313,-1129,21652,22781,-1.96,3.16,9.11,5.96,-5.12,98.23,103.35,201.58
102年10月,1255,979,2335,1356,276,17332,17056,5.51,4.3,10.25,5.95,1.21,76.08,74.87,150.95
102年11月,1728,855,2175,1320,873,15230,14357,7.84,3.88,9.86,5.98,3.96,69.05,65.09,134.13
102年12月,1949,852,2332,1480,1097,17016,15919,8.55,3.74,10.22,6.49,4.81,74.6,69.79,144.4
103年1月,1624,742,2178,1436,882,14386,13504,7.12,3.25,9.54,6.29,3.86,63.03,59.17,122.2
103年2月,1187,518,2144,1626,669,13699,13030,5.76,2.51,10.39,7.88,3.24,66.42,63.17,129.59
103年3月,905,667,2366,1699,238,17761,17523,3.96,2.92,10.36,7.44,1.04,77.75,76.7,154.45
103年4月,1099,892,2428,1536,207,17992,17785,4.97,4.03,10.98,6.95,0.94,81.35,80.42,161.77
103年5月,807,818,2215,1397,-11,20553,20564,3.53,3.58,9.69,6.11,-0.05,89.9,89.95,179.85
103年6月,1534,926,2212,1286,608,18858,18250,6.93,4.18,9.99,5.81,2.75,85.2,82.45,167.66
103年7月,1355,1001,2393,1392,354,21487,21133,5.92,4.37,10.46,6.08,1.55,93.9,92.35,186.25
103年8月,-20,992,2314,1322,-1012,18281,19293,-0.09,4.33,10.11,5.78,-4.42,79.87,84.29,164.16
103年9月,642,1169,2516,1347,-527,23038,23565,2.9,5.28,11.36,6.08,-2.38,103.99,106.37,210.37
103年10月,1995,1352,2744,1392,643,15024,14381,8.71,5.9,11.98,6.08,2.81,65.6,62.79,128.39
103年11月,2447,1361,2557,1196,1086,11671,10585,11.04,6.14,11.53,5.39,4.9,52.61,47.72,100.33
103年12月,2224,1409,2957,1548,815,24274,23459,9.7,6.14,12.89,6.75,3.55,105.81,102.25,208.06
104年1月,1818,1092,2546,1454,726,17008,16282,7.92,4.76,11.09,6.33,3.16,74.08,70.92,145
104年2月,980,784,2062,1278,196,13132,12936,4.72,3.78,9.94,6.16,0.94,63.29,62.35,125.64
104年3月,845,957,2702,1745,-112,20021,20133,3.68,4.16,11.76,7.59,-0.49,87.13,87.62,174.75
104年4月,-9,731,2245,1514,-740,17682,18422,-0.04,3.29,10.09,6.81,-3.33,79.5,82.83,162.33
104年5月,-28,961,2271,1310,-989,19272,20261,-0.12,4.18,9.88,5.7,-4.3,83.86,88.16,172.02
104年6月,109,919,2296,1377,-810,17545,18355,0.49,4.13,10.32,6.19,-3.64,78.89,82.53,161.41
104年7月,-2586,798,2319,1521,-3384,19565,22949,-11.25,3.47,10.1,6.62,-14.73,85.17,99.9,185.07
104年8月,-1873,1005,2327,1322,-2878,17216,20094,-8.16,4.38,10.14,5.76,-12.54,75.01,87.54,162.55
104年9月,-1456,1017,2303,1286,-2473,19729,22202,-6.56,4.58,10.37,5.79,-11.14,88.87,100.01,188.89
104年10月,1399,1174,2668,1494,225,15383,15158,6.1,5.12,11.63,6.51,0.98,67.06,66.08,133.14
104年11月,1295,1147,2505,1358,148,14288,14140,5.83,5.16,11.28,6.11,0.67,64.33,63.67,128
104年12月,2001,1296,2743,1447,705,15278,14573,8.72,5.64,11.94,6.3,3.07,66.53,63.46,129.99
105年1月,164,931,2379,1448,-767,15196,15963,0.72,4.06,10.38,6.32,-3.35,66.33,69.68,136
105年2月,-564,358,1966,1608,-922,13055,13977,-2.63,1.67,9.17,7.5,-4.3,60.92,65.22,126.14
105年3月,85,579,2574,1995,-494,19260,19754,0.37,2.53,11.24,8.71,-2.16,84.08,86.24,170.32
105年4月,-666,590,2130,1540,-1256,14736,15992,-3,2.66,9.61,6.95,-5.67,66.48,72.15,138.63
105年5月,-899,889,2446,1557,-1788,18815,20603,-3.93,3.88,10.68,6.8,-7.81,82.17,89.98,172.15
105年6月,-5,861,2257,1396,-866,16317,17183,-0.02,3.89,10.19,6.3,-3.91,73.65,77.56,151.21
105年7月,-1280,878,2175,1297,-2158,16521,18679,-5.59,3.84,9.5,5.67,-9.43,72.18,81.61,153.79
105年8月,-3054,814,2352,1538,-3868,18786,22654,-13.35,3.56,10.28,6.73,-16.91,82.14,99.06,181.2
105年9月,-2275,844,2176,1332,-3119,18935,22054,-10.28,3.82,9.84,6.02,-14.11,85.64,99.75,185.38
105年10月,3,1174,2556,1382,-1171,15300,16471,0.01,5.14,11.19,6.05,-5.13,66.99,72.12,139.12
105年11月,-667,936,2355,1419,-1603,15540,17143,-3.02,4.24,10.66,6.42,-7.25,70.32,77.58,147.9
105年12月,52,1156,2626,1470,-1104,15792,16896,0.23,5.06,11.5,6.44,-4.84,69.17,74,143.17
106年1月,-333,601,1932,1331,-934,12538,13472,-1.45,2.63,8.44,5.81,-4.08,54.77,58.85,113.61
106年2月,-1176,556,2093,1537,-1732,14113,15845,-5.69,2.69,10.12,7.44,-8.38,68.27,76.65,144.92
106年3月,-882,703,2537,1834,-1585,18556,20141,-3.85,3.07,11.09,8.02,-6.93,81.11,88.03,169.14
106年4月,-1195,456,1778,1322,-1651,13345,14996,-5.4,2.06,8.03,5.97,-7.46,60.3,67.76,128.05
106年5月,-1305,737,2135,1398,-2042,17876,19918,-5.71,3.22,9.34,6.12,-8.93,78.2,87.13,165.34
106年6月,-968,620,2071,1451,-1588,18270,19858,-4.38,2.8,9.37,6.56,-7.18,82.62,89.81,172.43
106年7月,-2216,484,1967,1483,-2700,15858,18558,-9.7,2.12,8.61,6.49,-11.82,69.44,81.27,150.71
106年8月,-2427,481,2044,1563,-2908,18780,21688,-10.63,2.11,8.96,6.85,-12.75,82.31,95.06,177.37
106年9月,-2309,653,2046,1393,-2962,18921,21883,-10.46,2.96,9.27,6.31,-13.43,85.77,99.19,184.96
106年10月,309,734,2092,1358,-425,13632,14057,1.36,3.22,9.18,5.96,-1.87,59.82,61.69,121.51
106年11月,119,878,2230,1352,-759,14419,15178,0.54,3.98,10.11,6.13,-3.44,65.38,68.82,134.2
106年12月,-64,672,2117,1445,-736,15447,16183,-0.28,2.95,9.29,6.34,-3.23,67.78,71.01,138.79
107年1月,-536,337,2107,1770,-873,15449,16322,-2.35,1.48,9.25,7.77,-3.83,67.8,71.63,139.43
107年2月,-1346,334,1779,1445,-1680,11512,13192,-6.54,1.62,8.65,7.02,-8.17,55.95,64.12,120.07
107年3月,-1157,280,2168,1888,-1437,20044,21481,-5.08,1.23,9.52,8.29,-6.31,88.03,94.35,182.38
107年4月,-1523,337,1755,1418,-1860,15118,16978,-6.91,1.53,7.97,6.44,-8.45,68.65,77.09,145.74
107年5月,-1928,530,2022,1492,-2458,21680,24138,-8.47,2.33,8.89,6.56,-10.81,95.33,106.14,201.47
107年6月,-1054,279,1626,1347,-1333,16157,17490,-4.79,1.27,7.39,6.12,-6.06,73.45,79.51,152.97
107年7月,-1650,372,1885,1513,-2022,18543,20565,-7.26,1.64,8.3,6.66,-8.9,81.62,90.52,172.14
107年8月,-1971,457,1923,1466,-2428,19122,21550,-8.68,2.01,8.47,6.46,-10.69,84.23,94.92,179.15
107年9月,-2453,391,1693,1302,-2844,17428,20272,-11.17,1.78,7.71,5.93,-12.96,79.39,92.35,171.74
107年10月,235,532,2059,1527,-297,14103,14400,1.04,2.35,9.08,6.73,-1.31,62.2,63.51,125.7
107年11月,-240,507,1928,1421,-747,13692,14439,-1.09,2.31,8.79,6.48,-3.4,62.4,65.8,128.2
107年12月,-1062,591,1904,1313,-1653,18393,20046,-4.68,2.61,8.4,5.79,-7.29,81.14,88.43,169.57
108年1月,-1664,329,2102,1773,-1993,17235,19228,-7.34,1.45,9.28,7.83,-8.8,76.07,84.86,160.93
108年2月,-1925,149,1516,1367,-2074,12692,14766,-9.41,0.73,7.41,6.68,-10.14,62.06,72.2,134.26
108年3月,-1558,106,1732,1626,-1664,16932,18596,-6.88,0.47,7.65,7.19,-7.35,74.83,82.18,157.01
108年4月,-2108,190,1784,1594,-2298,16266,18564,-9.63,0.87,8.15,7.28,-10.5,74.33,84.83,159.17
108年5月,-2702,302,1839,1537,-3004,19557,22561,-11.95,1.34,8.14,6.8,-13.3,86.57,99.87,186.43
108年6月,-963,199,1503,1304,-1162,15473,16635,-4.41,0.91,6.88,5.97,-5.32,70.82,76.14,146.96
